ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
57uX2vR9j9DNiANDYfXw1i,0.23,0.49200000000000005,8,-5.767,1,0.0317,0.568,8.18e-06,0.17600000000000002,0.262,160.139,256613,4,2009,70.0
6Umac95Mt46VcwAM9s9mOa,0.54,0.5720000000000001,9,-8.665,1,0.115,0.624,0.0,0.14,0.43,165.12400000000002,252320,3,2017,64.0
6havMuzrYWoJt49ZFJf1qZ,0.9059999999999999,0.49700000000000005,1,-6.312,1,0.0554,0.0224,0.000843,0.11199999999999999,0.0369,126.96,105900,4,2019,12.0
1Pb6y953XYdgaxvrBgFdxK,0.635,0.799,11,-9.179,0,0.0662,0.000463,0.64,0.13699999999999998,0.0769,140.029,450866,4,2016,23.0
7DsBWiGwsuOqoPwNHx0QeT,0.446,0.9179999999999999,0,-2.759,0,0.0423,0.0229,0.0,0.18,0.0972,155.094,230329,4,2019,39.0
7kc8pVAdNjBx0KrXePGstr,0.555,0.9440000000000001,3,-4.343999999999999,1,0.057,0.0301,0.0007059999999999999,0.368,0.433,149.94299999999998,318183,4,2012,8.0
2pQ9Fn6N9J5GcCzasRzycR,0.311,0.8059999999999999,8,-6.43,0,0.0924,0.0242,0.0155,0.083,0.10400000000000001,139.92,313027,4,2019,18.0
5itkPlAMAL9FtKbb718uBF,0.524,0.9940000000000001,7,-4.243,0,0.0865,0.11900000000000001,0.836,0.28300000000000003,0.282,140.001,257000,4,2019,1.0
2WeHot3QxH0UVHDrfBM8WE,0.635,0.882,7,-6.496,1,0.078,0.00335,0.88,0.156,0.18100000000000002,150.049,350775,4,2014,32.0
21wa2RNbfqJxy6zNzvGIAE,0.705,0.624,10,-7.984,0,0.05,0.00044500000000000003,0.865,0.0915,0.0382,128.998,345121,4,2019,27.0
0CV8PqgDS5V2kkoFZLu07t,0.502,0.98,8,-4.498,1,0.0352,0.0114,0.968,0.0986,0.201,140.004,211714,4,2020,5.0
00OJx2ReNhRrIiRTCObuKA,0.512,0.74,0,-6.375,0,0.065,0.0137,2.93e-06,0.757,0.16,127.98899999999999,240938,4,2019,29.0
040KCriVJxCjLfljOiP09I,0.583,0.985,8,-1.0390000000000001,0,0.28,0.00146,0.606,0.16699999999999998,0.0399,148.595,236712,4,2019,8.0
5ayWfQDS5RWOcXSC6cybUY,0.48,0.385,4,-14.829,0,0.158,0.0436,0.0729,0.0901,0.149,150.016,152616,4,2018,37.0
0nCjciaA68cHNBRA1C8GXN,0.9179999999999999,0.591,9,-4.783,0,0.0514,0.0473,0.0,0.183,0.562,104.021,185680,4,2019,47.0
7wugrdFWQmg1E2KVnT98wg,0.728,0.828,6,-7.591,1,0.0435,0.000802,0.875,0.0854,0.255,124.98700000000001,387769,4,2019,23.0
6rfUa9O2DtxaIfnzQzbTOD,0.8959999999999999,0.564,1,-5.477,1,0.121,0.125,0.0,0.106,0.731,210.03799999999998,114336,4,2019,24.0
0ok1eqhEkbIpu5A6yIndxr,0.812,0.993,9,-0.555,1,0.162,0.00963,0.488,0.214,0.7390000000000001,145.062,192000,4,2018,24.0
2hJiMYIOWLNrtWNjFIYaja,0.5820000000000001,0.5820000000000001,7,-11.422,0,0.0299,0.16899999999999998,0.872,0.0831,0.32899999999999996,143.996,240039,4,2018,25.0
397SNwbg5jUxSSPzG6olgO,0.716,0.98,1,-1.507,1,0.34299999999999997,0.00252,0.395,0.0894,0.32799999999999996,150.034,172800,4,2018,9.0
1lewHWUDmqsHvLhf5Vz4hF,0.88,0.564,0,-13.157,1,0.0431,0.0008880000000000001,0.856,0.0813,0.204,124.99700000000001,497280,4,2013,48.0
49gFvrdzc08iDns8BhpfWu,0.693,0.732,0,-4.629,1,0.0343,1.42e-05,0.777,0.257,0.462,119.965,122788,4,2020,30.0
153gRvRs6g9gCQUgDykrLV,0.7909999999999999,0.821,6,-3.4410000000000003,1,0.23600000000000002,0.0254,0.0299,0.228,0.782,183.78,278493,4,1998,46.0
1MOMpcos2uiCEyZPkOGaLB,0.45399999999999996,0.91,5,-4.713,0,0.0473,0.0026899999999999997,0.40299999999999997,0.156,0.0957,149.945,305612,4,2016,4.0
1V3OdsMgZYItbdSLfdlwhX,0.5870000000000001,0.8059999999999999,6,-3.702,1,0.136,7.390000000000001e-05,0.162,0.183,0.584,161.95,72377,4,2020,7.0
6uT3CGGp5SmiZgS0DbpQBZ,0.484,0.937,7,-11.821,1,0.0458,0.00965,0.722,0.452,0.662,139.981,108000,4,2018,10.0
7lVNTXkI3cHFvcXiI8damb,0.66,0.7070000000000001,6,-5.757999999999999,1,0.20800000000000002,0.397,0.0,0.21100000000000002,0.7609999999999999,178.558,268800,4,2005,65.0
46yU7RMN1Hvo6xK6tk6JGI,0.565,0.996,4,-5.35,0,0.17800000000000002,0.0070799999999999995,0.6970000000000001,0.451,0.076,137.97299999999998,464348,4,2019,7.0
5IVICxkFs25mVS9RoIEZPc,0.442,0.8220000000000001,10,-4.253,0,0.0853,0.0554,0.0008550000000000001,0.318,0.695,149.89700000000002,148269,4,2016,23.0
4AtzZyzf00fxAaJO2LyXiO,0.843,0.52,1,-9.629,1,0.541,0.0797,5.09e-06,0.0944,0.231,140.07,156081,4,2017,2.0
0CehS6FAi1t1NAHvD0ianB,0.526,0.9329999999999999,8,-1.4709999999999999,0,0.175,0.19699999999999998,0.000185,0.115,0.249,175.128,268800,4,2019,49.0
3Tr4G2UOXlKkSq6NI3OJaz,0.763,0.489,7,-10.542,1,0.122,0.0369,0.0,0.16699999999999998,0.622,108.008,202067,4,2016,26.0
0sGqkDmFIr4FWEKoOalCWH,0.511,0.568,8,-7.796,1,0.13,0.10300000000000001,0.0,0.201,0.142,159.988,266707,4,2014,49.0
6pv1N6qM8CuHouzC4mFz48,0.574,0.865,1,-9.815,1,0.065,0.0030800000000000003,0.897,0.109,0.21,128.987,239993,4,2020,43.0
4xDRW72GTZVHnu33h76vK3,0.515,0.649,7,-4.083,1,0.0374,0.0155,0.902,0.11800000000000001,0.0673,134.036,206236,4,2018,16.0
3j3XiRDNkaUfINMB99hphS,0.841,0.718,6,-7.098,0,0.27699999999999997,0.0315,1.92e-06,0.122,0.728,185.75799999999998,211960,4,1999,48.0
3JJU9BP2zRFdXpVA7r0gby,0.546,0.765,3,-5.358,0,0.213,0.18899999999999997,0.0,0.121,0.461,190.074,264440,4,2014,34.0
5QvdsAZjTe7QBFzD7XHEFk,0.79,0.955,8,-6.417999999999999,1,0.0548,0.0005110000000000001,0.6859999999999999,0.248,0.929,126.008,194154,4,2019,1.0
0qiASn6jJ1umfZbBtcR6va,0.976,0.546,5,-6.854,1,0.26,0.0466,1.39e-05,0.0945,0.852,119.98100000000001,228507,4,2020,46.0
0IOh9EMzCjJ5P9QSESsMlR,0.736,0.8190000000000001,3,-6.5,0,0.0618,0.0141,0.0026,0.064,0.838,127.008,249250,4,2019,15.0
2IDUt4NBzRoF7EWXEMYhGa,0.856,0.5660000000000001,1,-4.874,1,0.0505,0.15,0.000176,0.131,0.0439,120.02799999999999,144723,4,2020,33.0
3IzrrsRBpu23x95jJo7d5S,0.669,0.42100000000000004,10,-12.440999999999999,1,0.373,0.5770000000000001,2.22e-06,0.0998,0.573,159.88,192224,4,2018,54.0
1oza5iKy8u7jqxy7t4O7Ob,0.7120000000000001,0.293,5,-14.744000000000002,1,0.049,0.00466,0.809,0.106,0.17800000000000002,126.005,399799,4,2018,2.0
5BG9s0tpkw5ZPDsfhVzwRz,0.868,0.496,1,-6.885,1,0.217,0.18,0.0,0.14300000000000002,0.212,200.09400000000002,171950,4,2020,47.0
3R2Q0mnm2ZAITH1ym4xEkm,0.8079999999999999,0.5660000000000001,6,-9.8,0,0.32,0.147,1.14e-06,0.13699999999999998,0.675,151.875,157895,4,2019,14.0
